address,bookmarks,dislikes,food_type,likes,name,number_of_reviews,price_range
"Room A, 1/F, 11 Tung Choi Street,",1176,1,Turkish,42,I Love Istanbul 我愛伊斯坦堡,(52 Reviews),$101-200
"Room A, 1/F, 9-15 Tung Choi Street,",805,0,Turkish,32,Coffee on the Sand,(35 Reviews),$201-400
"Shop 115-120, 1/F, New Mandarin Plaza,",1372,1,Turkish,22,Istanbul Express Turkuaz Turkish Restaurant 伊斯坦堡特快,(32 Reviews),Below $50
"G/F, Yiu Pont House, 12 Knutsford Terrace,,",1998,10,Turkish,58,Merhaba by Pasha Turkish Restaurant 瑪哈巴,(104 Reviews),$201-400
"Shop D-E, G/F, 27 Hollywood Road, Soho,",676,0,Turkish,16,27 Kebab House Turkish Restaurant,(20 Reviews),$51-100
"Shop9, G/F, Witty Commerical Building,1A-1J Tung Choi Street,",1871,26,Turkish,91,Our Restaurant,(177 Reviews),$51-100
"G/F, 4,",827,6,Turkish,75,Turkish Cuisine Best Kebab 土耳其卡巴,(99 Reviews),Below $50
"Shop 6A, Sheung Tsuen,",247,0,Turkish,8,Tasty House 美味屋,(9 Reviews),$51-100
"G/F.,19 Tung Choi Street.,",1001,4,Turkish,17,1453 Ottoman Mediterranean Cuisine 1453 奧圖曼地中海美食(清真),(37 Reviews),$101-200
"G/F, 66 Lockhard Road,",844,6,Turkish,46,Istanbul Express Turkish Restaurant 伊斯坦堡特快,(68 Reviews),Below $50
"Shop 3, G/F, Pao Woo Mansion, 177-179 Wanchai Road,",420,0,Turkish,7,Istanbul Turkish Kebabs and Grills 伊斯坦堡特色轉燒肉餐廳,(16 Reviews),$51-100
"Shop 8, G/F., Lee Wai Commercial Building, 1-3 Hart Ave,",261,2,Turkish,7,New Istanbul Kebab,(13 Reviews),Below $50
"G/F., 18 Ashley Road,",270,0,Turkish,6,27 Kebab House Turkish Restaurant,(8 Reviews),$51-100
"Shop 47, G/F, Chungking Mansions, 36-44 Nathan Road,",32,0,Turkish,6,Turkish Kebab & Indian Restaurant,(7 Reviews),$51-100
"Shop L, G/F, Seaview Crescent, 8 Tung Chung Waterfront Road,",153,2,Turkish,4,Kimos Turkish and Indian Cuisine,(7 Reviews),$101-200
"Shop 3, 69 Peel Street, Soho,",2350,0,Western,6,Hazel & Hershey,(10 Reviews),Below $50
"G/F, 47B Elgin Street, SOHO,",1152,3,Vietnamese,22,Soho Spice,(35 Reviews),$201-400
"G/F, 11 Elgin Street, SOHO,",1461,0,Middle Eastern,27,Sahara Mezz Bar,(32 Reviews),$201-400
"G/F, 7 Elgin Street, SOHO,",2069,1,Japanese,5,Sushi Kado 壽司角,(9 Reviews),$401-800
"G/F, No. 32 Elgin Street, Soho,",1315,5,Middle Eastern,27,"Olive, Greek & Middle Eastern",(48 Reviews),$201-400
"G/F, 26-30 Elgin Street, SOHO,",595,1,Thai,6,Soul Food,(12 Reviews),$101-200
"G/F., 62 Peel Street, Soho,",1811,0,German,7,The Roundhouse Taproom,(8 Reviews),$201-400
"L/G, 7 Stanton Street,",177,0,Korean,4,Ms.100,(6 Reviews),$51-100
"G/F, 27, Elgin Street,Soho,",1188,0,Japanese,3,Kinjo's Izakaya 金城居酒屋,(6 Reviews),$201-400
"G/F, 51 Elgin Street, SOHO,",1206,0,Mediterranean,11,Santorini Greek Restaurant,(17 Reviews),$201-400
"G/F, 48 Staunton Street,",211,0,Korean,6,J48,(8 Reviews),$101-200
"G/F, 9-13 Shelley Street, SOHO,",1162,0,Western,27,Peak Cafe Bar 山頂餐廳酒吧,(47 Reviews),$101-200
"G/F, 38 Peel Street, Soho,",984,0,Western,4,Fineprint,(5 Reviews),Below $50
"1/F, 52 Hollywood Road,",929,1,Western,4,Tom Dixon x Nodi,(7 Reviews),$51-100
"G/F, 51 Peel Street,",821,0,Japanese,1,Sushi Sase Hanare 鮨佐瀬,(3 Reviews),Above $801
"G/F, 4 Staunton Street, SOHO,",1596,1,Lebanon,18,Le Souk,(24 Reviews),$101-200
"G/F-2/F, 10 Shelley Street, SoHo,",1404,3,Lebanon,10,Maison Libanaise,(21 Reviews),$201-400
"25/F, 235-239 Hennessy Road,",505,0,Lebanon,7,Zahrabel Dining Club,(10 Reviews),$201-400
"Shop A, G/F, 39 Lyndhurst Terrace,",132,0,Lebanon,2,Beyrouth Bistro,(2 Reviews),$51-100
"G/F, 8 Glenealy,",575,1,Lebanon,5,Sumac,(11 Reviews),$401-800
"Shop A, Winner Building, 27-39 D'Aguilar Street, Lan Kwai Fong,",214,4,Lebanon,6,Beirut Bar,(14 Reviews),$101-200
"Room 401-402, 4/F, Lee Wai Commercial Building, 1-3 Hart Avenue,",114,0,Lebanon,1,T Gourmet,(1 Reviews),$201-400
"G/F, 93 Catchick Street, Kennedy Town,",337,1,Lebanon,0,Mama Malouf,(2 Reviews),$201-400
"Shop B11, B/F, Windsor House (The In Square), 311 Gloucester Road,",2574,5,Malaysian,108,Mee...Lemongrass,(140 Reviews),$51-100
"5/F, LHT Tower, 31 Queen's Road,",4666,8,Argentinian,28,Gaucho Steak Restaurant,(57 Reviews),$201-400
"Shop B, G/F, 84 Ngan Tsin Wai Road,",1654,0,Malaysian,29,Golden Chicken 西貢金雞海南雞,(43 Reviews),$51-100
"Level 2, Hotel Jen Hong Kong, 508 Queen's Road West,",8305,5,Malaysian,100,Café Malacca 馬來一菜館,(185 Reviews),$101-200
"G/F, 12 Hoi Kwong Street,",3196,8,Malaysian,79,With Your Mind 隨心,(102 Reviews),$51-100
"Shop 174, Level 1, Plaza Hollywood, 3 Lung Poon Street,",898,2,Malaysian,65,Fullhouse Kitchen 滿屋廚房,(78 Reviews),Below $50
"G/F., Shop 4-5., 98-102 Jaffe Road,",9330,15,Malaysian,233,Sabah Malaysian Cuisine 莎巴馬來西亞餐廳,(353 Reviews),$101-200
"G/F, 251 Ki Lung Street,",7066,11,Malaysian,39,Kedai Kopi Semua Semua 蘇媽.蘇媽馬來西亞茶餐室,(85 Reviews),$51-100
"Shop 20, 1/F, Kwun Tong Ferry Concourse Cooked Food Market, 190 Hoi Bun Road,",3964,3,Malaysian,43,拿督星馬大飯店,(63 Reviews),Below $50
"Shop F3, G/F, 143 Kweilin Street,",4332,4,Malaysian,36,Semua Semua Malaysia Food Gourmet 蘇媽.蘇媽馬來西亞美食店,(69 Reviews),Below $50
"Shop 34, Ko Fu Building, Fuk Man Road,",3513,6,Malaysian,82,Golden Chicken 金雞去骨海南雞專門店,(103 Reviews),$51-100
"Shop D & E, G/F, Luk Fook Jewellery Centre, 237-247 Temple Street,",1695,5,Malaysian,51,Bali Restaurant 峇里餐廳,(68 Reviews),$101-200
"Shop 4, G/F, Rialto Building, No. 2 LanDale St,",5140,34,Malaysian,139,Prawn Noodle Shop 蝦麵店,(297 Reviews),Below $50
"42 Pok Man Street,",860,5,Malaysian,49,Orange Elephant Thai Restaurant,(61 Reviews),$101-200
"Shop A, G/F Kowloon Centre, 29-39 Ashley Road,",1153,11,Malaysian,53,Nam Ah Restaurant 南亞餐廳1964,(78 Reviews),$51-100
"11/F, The Loop, 33 Wellington Street,",4017,3,Malaysian,38,Old Town Restaurant,(68 Reviews),$101-200
"Shop R008, 3/F, Elements, 1 Austin Road West,",1948,2,Argentinian,14,Tango Argentinian Steak House,(21 Reviews),$401-800
"1/F, Carfield Commercial Building, 77 Wyndham Street,",3706,7,Argentinian,29,Tango Argentinian Steak House,(48 Reviews),$401-800
"7/F, LKF Tower, 33 Wyndham Street, Lan Kwai Fong,",2594,4,Argentinian,14,Buenos Aires Polo Club,(25 Reviews),$401-800
"G/F, 32B&C Staunton Street, SOHO,",1564,5,Argentinian,38,La Pampa Argentinian Steak House,(54 Reviews),$201-400
"G/F, 36 Elgin Street, Soho,",273,2,Argentinian,6,Pampas,(15 Reviews),$201-400
"Shop A, G/F, 16 Elgin Street, Soho,",332,0,Argentinian,7,Picada ,(9 Reviews),$101-200
"Shop 1, G/F, North Point Asia-pacific Centre, 10 North Point Road,",515,3,Malaysian,19,Ipoh Mari 姨婆瑪麗,(30 Reviews),Below $50
"Shop 223, 2/F, Maritime Square 2, 33 Tsing King Road,",245,1,Malaysian,22,Mee...lemongrass,(28 Reviews),$51-100
"Shop 114, G/F, Block 7, Chi Lok Fa Yuen, 18 Tsing Hoi Circuit,",1076,0,Malaysian,14,Mamak Shop 媽媽檔,(21 Reviews),Below $50
"Shop A3, G/F, Kwong Tak Building, 29C-29D Pok Fu Lam Road,",2066,2,Malaysian,12,Nyonya Coming 娘惹嫁到,(21 Reviews),Below $50
"Shop 2, G/F, Fortune Mansion, 3-5 Cheong Tai Street,",873,7,Malaysian,18,Golden Chicken 西貢金雞海南雞,(37 Reviews),$51-100
"Shop 3011, 3/F, Kolour Tsuen Wan I, 68 Chung On Street,",417,6,Malaysian,11,Asian Cooking 薈亞廚房,(35 Reviews),$101-200
"G/F, 16 Haven Street,",941,1,Malaysian,12,LG Bistro,(22 Reviews),Below $50
"Room 601, 6/F, Cheung Tat Centre, 18 Cheung Lee Street,",1062,0,Malaysian,6,Malayan Restaurant 馬來亞春色綠野景緻艷雅,(14 Reviews),$51-100
"G/F, Lai Wah Mansion, 881 King's Road,",1016,0,Malaysian,5,Malayan Restaurant 馬來亞春色綠野景緻艷雅,(10 Reviews),Below $50
"G/F, 12 Jordan Road,",667,7,Malaysian,27,Malaysian Chinese Restaurant 馬華餐廳,(52 Reviews),$51-100
"Shop M415, Tin Shing Market, Tin Shing Shopping Centre, 3 Tin Ching Street,",307,0,Malaysian,8,Wings Laksa 榮少喇沙,(14 Reviews),Below $50
"Shop 02, G/F, Popwalk, 12 Tong Chun Street,",913,8,Malaysian,28,Mekong 湄南,(59 Reviews),$51-100
"Shop 6, G/F, 10 Sai Ching Street,",523,2,Malaysian,5,南香雞飯,(16 Reviews),$51-100
"4/F, The L. Square, 459-461 Lockhart Road,",480,0,Malaysian,4,Bugis Bugis@蝦湯面・怡保雞飯,(7 Reviews),$51-100
"Shop L15, Lower Ground, Fitfort, 560 King's Road,",478,1,Malaysian,7,Golden Chicken 西貢金雞海南雞,(14 Reviews),$51-100
"Shop 7, G/F, Lee King Mansion, 83 Electric Road,",630,1,Middle Eastern,43,Habib's 哈比斯燒肉串和咖哩,(48 Reviews),Below $50
"Room A, 1/F, 11 Tung Choi Street,",1176,1,Middle Eastern,42,I Love Istanbul 我愛伊斯坦堡,(52 Reviews),$101-200
"Flat A & B, 11/F, Southern Commercial Building, 11 Luard Road,",2528,3,Middle Eastern,67,Oh Food Arabic Halal Cuisine Oh Food 清真阿拉伯料理,(87 Reviews),$101-200
"Shop5D2, G/F, Dragon View House, 7-9 Hoi Kwong Street,",283,0,Middle Eastern,30,Kebab Land,(31 Reviews),Below $50
"Shop 1, G/F, Wing On Plaza, 62 Mody Road,",1162,2,Middle Eastern,24,RA Restaurant & Lounge,(30 Reviews),$101-200
"Shop G01C, G/F, Astoria Building, 24-38 Ashley Road,",3627,4,Middle Eastern,128,Ebeneezer's Kebabs & Pizzeria,(169 Reviews),$51-100
"93A Woosung Street,",2190,22,Middle Eastern,61,Ah Lung Pakistan Halal Food 亞龍咖喱,(125 Reviews),$51-100
"G/F, 4 Staunton Street, SOHO,",1596,1,Middle Eastern,18,Le Souk,(24 Reviews),$101-200
"G/F, 4-6 St. Francis Street,",548,0,Middle Eastern,9,FRANCIS,(10 Reviews),$201-400
"G/F, 11 Elgin Street, SOHO,",1461,0,Middle Eastern,27,Sahara Mezz Bar,(32 Reviews),$201-400
"Shop9, G/F, Witty Commerical Building,1A-1J Tung Choi Street,",1871,26,Middle Eastern,91,Our Restaurant,(177 Reviews),$51-100
"G/F, No. 32 Elgin Street, Soho,",1315,5,Middle Eastern,27,"Olive, Greek & Middle Eastern",(48 Reviews),$201-400
"95B Woosung Street,",582,19,Middle Eastern,22,Ah Long Pakistan Halal Food 阿龍巴基斯坦咖哩,(62 Reviews),$51-100
"1/F, 5 Ki Lung Street, Mong Kok,",399,0,Middle Eastern,7,The Venue 基隆街五號,(7 Reviews),$201-400
"G/F, 24 Hollywood Road SOHO,",474,0,Middle Eastern,18,Ebeneezer's Kebabs & Pizzeria,(23 Reviews),$51-100
"Shop B, G/F 48-50 Staunton Street, Soho,",400,0,Western,3,Little LAB Central,(4 Reviews),$51-100
"G/F, 33 Elgin Street, SOHO,",212,2,Northeastern,12,Bistro Manchu 滿漢居,(18 Reviews),$101-200
"G/F, 45 Staunton Street,",30,0,Western,1,The Boilermaker,(2 Reviews),$101-200
"10 Staunton Street, SOHO,",662,1,Mediterranean,12,Staunton's Wine Bar & Cafe,(17 Reviews),$101-200
"G/F, 59A Peel Street, Soho,",43,0,Hong Kong Style,1,Good Companion 良友快餐店,(1 Reviews),Below $50
"49 Peel Street,",580,0,Western,1,Peel Fresco Music Lounge,(1 Reviews),$51-100
"G/F, 45 Graham Street, Soho,",124,1,Japanese,20,鳥山燒鳥,(1 Reviews),$201-400
"G/F, 15 Elgin Street, SOHO,",730,0,Italian,1,Culture Club Gallery,(26 Reviews),$51-100
"G/F, 45A Graham Street,",118,0,Korean,3,Takorea Soontofu,(1 Reviews),$51-100
"1/F, 15 Staunton Street, Soho,",143,0,Western,1,Loft 15 Cafe,(1 Reviews),$101-200
"G/F, 27 Staunton Street, SOHO,",71,0,Western,1,Club 1911,(4 Reviews),$51-100
"5/F, QRE Plaza, 202 Queen's Road East,",1891,1,Greek,33,Santorini Greek Taverna,(43 Reviews),$201-400
"G/F, No. 32 Elgin Street, Soho,",1315,5,Greek,27,"Olive, Greek & Middle Eastern",(48 Reviews),$201-400
"G/F, 51 Elgin Street, SOHO,",1206,0,Greek,11,Santorini Greek Restaurant,(17 Reviews),$201-400
"7A-B Main Street, Yung Shue Wan,",34,1,Greek,2,Just Kitchen,(5 Reviews),$51-100
"G/F, 16A Elgin Street, Soho,",277,0,French,5,La Fromagerie,(13 Reviews),$101-200
"G/F, 36 Elgin Street, Soho,",273,2,Argentinian,6,Pampas,(15 Reviews),$201-400
"G/F, 11 Old Bailey Street, Soho,",378,0,Italian,3,La Brata,(4 Reviews),$201-400
"G/F, 47 Elgin Street, SOHO,",1089,1,Mediterranean,22,Enoteca On Elgin,(30 Reviews),$201-400
"G/F, 46 Staunton Street, Soho,",85,0,Irish,3,McSorley's Ale House,(7 Reviews),$101-200
"G/F, 14 Staunton Street, SOHO,",581,4,Nepalese,29,Nepal Nepalese Restaurant,(45 Reviews),$101-200
"52-56 Staunton Street, Soho,",360,0,Italian,5,Stazione Novella,(6 Reviews),$101-200
"G/F, 55 Caine Road,",26,0,French,2,Meltlyplace,(2 Reviews),Below $50
"G/F, 23 Staunton Street, Soho,",506,1,Mediterranean,2,Awtar,(8 Reviews),$201-400
"Unit 4C, 13/F Pakpolee Commercial Centre, no1A-1K Sai Yeung Choi St South, KLN, Hong Kong,",691,2,Turkish,10,Turkish Anne 土耳其媽媽廚房,(16 Reviews),$101-200
"LG/F, 37 Aberdeen Street, Soho,",419,0,International,1,The Old Man,(1 Reviews),$51-100
"G/F, 55 Elgin Street, Soho,",219,0,Portuguese,1,Flaming Frango,(1 Reviews),$201-400
"G/F, 11 Old Bailey Street,",105,0,Italian,1,Alba Wine & Dine,(6 Reviews),$201-400
"G/F, 38 Elgin Street, Soho,",409,2,American,3,Smokey joe's,(8 Reviews),$101-200
"G/F., 28 Hollywood Road, Soho,",380,2,Western,2,Rummin' Tings,(8 Reviews),$201-400
"Shop A, G/F, 47 Elgin Street, Soho,",163,0,Vietnamese,1,Cicada,(4 Reviews),$101-200
"Shop 1B, G/F, 31 Hillier Street,",51,0,Turkish,3,TAVA Turkish & Mediterranean Cuisine,(4 Reviews),$51-100
"Room A, 1/F, 9-15 Tung Choi Street,",139,0,Turkish,4,Turkuaz Turkish Ice Cream,(6 Reviews),Below $50
"G/F, 24 See Cheung Street,",60,0,Turkish,3,Yaadgar Kebabs and Curries,(3 Reviews),$51-100
"Shop T52, Tin Shui Market, 9 Tin Shui Road,",13,0,Turkish,1,Al Zaiqa Restaurant 土耳其風格,(1 Reviews),Below $50
"Shop 5B, UG/F, Cheung Fai Buildiing, 45-47 Cochrane Street,",142,1,Turkish,5,BABU.,(6 Reviews),$51-100
"Shop M409, G/F, Tin Shing Shopping Centre, 3 Tin Ching Street,",120,1,Turkish,2,Al Zaiqa Restaurant 土耳其風格,(7 Reviews),Below $50
"Shop 1, G/F, Supreme House, 2B Hart Avenue,",62,0,Turkish,2,27 Kebab House Turkish Restaurant,(4 Reviews),$51-100
"G/F, Dolford Mansion, 1-3C Chatham Court,",40,0,Turkish,2,Turkish Kebab Restaurant,(4 Reviews),$51-100
"Shop B-C, G/F, 38 Mok Cheong Street,",136,0,Turkish,2,Habibi's 哈比比,(4 Reviews),$51-100
"Shop 19, G/F, Mui Wo Centre, 3 Ngan Wan Road,",150,0,Turkish,5,Bahce Turkish Restaurant 花園土耳其餐廳,(8 Reviews),$201-400
"Shop G17, G/F., Minden Avenue,",485,2,Turkish,27,Istanbul Kebab,(41 Reviews),Below $50
"G/F, 44 Main Street, Yung Shun Wan,",42,0,Turkish,1,Turkish Pizza House 土耳其薄餅屋,(2 Reviews),$51-100
"Shop No. 6, 10/F, Pakpolee Commercial Centre, 1A-1K Sai Yeung Choi Street South,",105,0,Turkish,1,Ziyafet Hong Kong 歐亞之夜,(1 Reviews),$101-200
"Shop 75, 1/F, Chungking Mansions, 36-44 Nathan Road,",355,2,Middle Eastern,12,Bismillah Kebab House,(19 Reviews),Below $50
"Shop B2, 15/F, Tsim Sha Tsui Mansion, 36-50 Lock Road,",57,0,Middle Eastern,3,Egyptian House,(3 Reviews),$51-100
"Flat B, 6/F., Harilela Mansion, 81 Nathan Road,",172,3,Middle Eastern,5,Ziafat Arabic Cuisine,(16 Reviews),$51-100
"G/F, 76 Catchick Street, Kennedy Town,",203,1,Middle Eastern,2,Falafel Hut,(5 Reviews),$51-100
"Shop 6A ,G/F, Min Yin Building, Ping Lai Path, 454 Castle Peak Road,",114,0,Middle Eastern,2,Haq Restaurant 穆德廚房,(2 Reviews),$51-100
"Hong Kong University Room 1A13A and 1A13B, Fong Shu Chuen Amenities Centre, 1/F Swire Building, Pokfulam,",68,0,Middle Eastern,2,Ebeneezer's Kebabs & Pizzeria,(4 Reviews),$51-100
賈炳達道128號九龍城廣場LG層8號舖,168,0,Middle Eastern,8,Ali Baba 阿里吧吧,(16 Reviews),Below $50
"Food Cart 3, Lagoon, Ocean Park,",18,0,Middle Eastern,1,Rainforest Snacks 湖畔美食,(1 Reviews),Below $50
"G/F, 52 Lockhart Road,",147,7,Middle Eastern,10,Ebeneezer's Kebabs & Pizzeria,(20 Reviews),$51-100
"Room 401-402, 4/F, Lee Wai Commercial Building, 1-3 Hart Avenue,",114,0,Middle Eastern,1,T Gourmet,(1 Reviews),$201-400
"G/F, 44 Main Street, Yung Shun Wan,",42,0,Middle Eastern,1,Turkish Pizza House 土耳其薄餅屋,(2 Reviews),$51-100
"Shop No. 6, 10/F, Pakpolee Commercial Centre, 1A-1K Sai Yeung Choi Street South,",105,0,Middle Eastern,1,Ziyafet Hong Kong 歐亞之夜,(1 Reviews),$101-200
"Shop 9A, Ngong Ping Themed Village,",48,1,Middle Eastern,1,Ebeneezer's Kebabs & Pizzeria,(6 Reviews),$51-100
"Shop 13, G/F., 83-97 Nathan Road,",59,0,Middle Eastern,1,Al-Maidah Restaurant,(2 Reviews),Below $50
"G/F, 18 Elgin Street, Soho,",57,1,Sichuan,0,Chongqing Szechuan 重慶四川食府,(3 Reviews),$101-200
"G/F, 6-8 Staunton Street, Soho,",135,7,American,6,Burger King,(17 Reviews),Below $50
"3/F, Hilltop Plaza, 49 Hollywood, SOHO,",46,0,Western,1,Veto Club & Bar,(1 Reviews),Below $50
"20 Elgin Street, SOHO,",25,0,Western,1,Cutty Sark,(1 Reviews),$101-200
"G/F, The Cockloft, Wing On Building, 40 Hollywood Road, Soho,",17,3,Japanese,0,Toyo 豐日本料理,(3 Reviews),$101-200
"G/F., 52A Peel Street, Soho,",80,1,French,1,Le Tambour,(2 Reviews),$201-400
"G/F, 93 Catchick Street, Kennedy Town,",337,1,Middle Eastern,0,Mama Malouf,(2 Reviews),$201-400
